BuildingName,City,Country,Height_ft,Year,Stories
Burj Dubai ,Dubai,UAE,2684,2009,162
Taipei 101 ,Taipei,Taiwan,1671,2004,101
Shanghai World Financial Center,Shanghai,China,1614,2008,101
Petronas Tower 1 ,Kuala Lumpur,Malaysia,1483,1998,88
Petronas Tower 2 ,Kuala Lumpur,Malaysia,1483,1998,88
Nanjing Greenland Financial Center,Nanjing,China,1476,2009,66
Sears Tower ,Chicago,USA,1451,1974,108
Guangzhou West Tower ,Guangzhou,China,1435,2009,103
Jin Mao Tower ,Shanghai,China,1380,1999,88
Two International Finance Centre,Hong Kong,China,1362,2003,88
Trump International Hotel & Tower,Chicago,USA,1362,2009,96
CITIC Plaza ,Guangzhou,China,1283,1997,80
Shun Hing Square ,Shenzhen,China,1260,1996,69
Empire State Building ,New York City,USA,1250,1931,102
Central Plaza ,Hong Kong,China,1227,1992,78
Bank of China Tower ,Hong Kong,China,1205,1990,70
Bank of America Tower ,New York City,USA,1200,2009,54
Almas Tower ,Dubai,UAE,1191,2009,68
Emirates Office Tower ,Dubai,UAE,1163,2000,54
Tuntex Sky Tower ,Kaohsiung,Taiwan,1140,1997,85
Aon Center ,Chicago,USA,1136,1973,83
The Center ,Hong Kong,China,1135,1998,73
John Hancock Center ,Chicago,USA,1127,1969,100
Rose Tower ,Dubai,UAE,1093,2007,72
Shimao International Plaza,Shanghai,China,1093,2006,60
Minsheng Bank Building ,Wuhan,China,1087,2007,68
Ryugyong Hotel ,Pyongyang,North Korea,1083,NaN,105
China World Trade Center Tower III,Beijing,China,1083,2009,74
The Index ,Dubai,UAE,1076,2009,80
Q1 Tower ,Gold Coast City,Australia,1058,2005,78
Burj Al Arab ,Dubai,UAE,1053,1999,60
Chrysler Building ,New York City,USA,1046,1930,77
Nina Tower ,Hong Kong,China,1046,2007,80
New York Times Tower ,New York City,USA,1046,2007,52
Bank of America Plaza ,Atlanta,USA,1023,1992,55
US Bank Tower ,Los Angeles,USA,1018,1989,73
Menara Telekom ,Kuala Lumpur,Malaysia,1017,2001,55
Jumeirah Emirates Towers Hotel,Dubai,UAE,1014,2000,56
AT&T Corporate Center ,Chicago,USA,1007,1989,60
The Address  Downtown Burj Dubai,Dubai,UAE,1004,2008,63
JPMorgan Chase Tower ,Houston,USA,1002,1982,75
Baiyoke Tower II ,Bangkok,Thailand,997,1997,85
Two Prudential Plaza ,Chicago,USA,995,1990,64
Wells Fargo Plaza ,Houston,USA,992,1983,71
Kingdom Centre ,Riyadh,Saudi Arabia,992,2002,41
Aspire Tower ,Doha,Qatar,984,2007,36
Arraya 2 ,Kuwait City,Kuwait,984,2009,56
One Island East Centre ,Hong Kong,China,979,2008,69
First Bank Tower ,Toronto,Canada,978,1976,72
Shanghai Wheelock Square ,Shanghai,China,978,2009,58
Eureka Tower ,Melbourne,Australia,975,2006,91
Comcast Center ,Philadelphia,USA,973,2008,57
Yokohama Landmark Tower ,Yokohama,Japan,972,1993,73
Emirates Crown ,Dubai,UAE,971,2008,63
311 South Wacker ,Chicago,USA,961,1990,65
